source,module,state,subject,grade,standardCode,standardLabel,skill,strand,itemCount,lessonCount
database,PSSA,PA,ELA,7,CC.1.2.7.I,Compare how authors present similar topics,Compare Authors on the Same Topic,Informational,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.A,Determine theme and summarize literature,Theme,Literature,9,2
database,PSSA,PA,ELA,7,CC.1.3.7.B,"Analyze theme, deeper meaning, and author message through inference using multiple layers of evidence",Literary Inference,Literature,9,0
generated,PSSA,PA,ELA,7,CC.1.3.7.C,Analyze character development,Character,Literature,6,0
database,PSSA,PA,ELA,7,CC.1.3.7.C,"Analyze how setting interacts with plot, conflict, and characters",Setting Analysis,Literature,9,0
database,PSSA,PA,ELA,7,CC.1.3.7.C,"Analyze how story elements interact, including plot, setting, and characters",Plot Analysis,Literature,9,0
database,PSSA,PA,ELA,7,CC.1.3.7.C,Analyze character interaction and theme development,Character Motivation and Theme,Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.C,Analyze interaction of story elements,Plot Lines and Conflict Development,Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.D,Determine figurative and connotative meaning,Literary Vocabulary,Literature,3,0
database,PSSA,PA,ELA,7,CC.1.3.7.D,Analyze how point of view shapes a text,Point of View,Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.D,Analyze narrator point of view and perspective,Narrator Reliability and Perspective,Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.E,"Analyze how structure, flashback, foreshadowing, and nonlinear storytelling contribute to meaning",Flashback,Literature,6,0
database,PSSA,PA,ELA,7,CC.1.3.7.E,Analyze how structure contributes to meaning,Poetry Structure and Meaning,Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.F,"Analyze figurative, connotative, and technical meanings",Connotation and Figurative Language,Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.F,Analyze how word choice affects meaning and tone,"Mood, Tone, and Word Choice",Literature,0,2
database,PSSA,PA,ELA,7,CC.1.3.7.F / CC.1.2.7.F,"Analyze tone, mood, purpose, and deeper meaning created by figurative language",Figurative Language,Literature,6,0
database,PSSA,PA,ELA,7,CC.1.3.7.G,"Analyze author bias, multiple perspectives, and narrator reliability",Point of View,Literature,15,0
database,PSSA,PA,ELA,7,CC.1.4.7.A,Write informative texts with clear organization,Informative Writing with Transitions,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F,Use phrases and clauses for clear writing,Phrases and Clauses,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F,Apply grade-level punctuation conventions,Comma Use with Coordinate Adjectives,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F,Conventions of Standard English - Formal and Informal Style,Formal and Informal Style,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F,Maintain formal style and precise language,Formal Style and Precise Language,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F,Conventions of Standard English - Pronoun Agreement and Shifts,Pronoun Agreement and Shifts,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F,Use modifiers clearly and correctly,Misplaced and Dangling Modifiers,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.F1,Grammar in Standard English,Grammar,Writing/Conventions,3,0
generated,PSSA,PA,ELA,7,CC.1.4.7.F10,Frequently Confused Words in Standard English,Frequently Confused Words,Conventions,0,0
database,PSSA,PA,ELA,7,CC.1.4.7.F2,Punctuation in Standard English,Punctuation,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F3,Capitalization in Standard English,Capitalization,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F4,Sentence Structure in Standard English,Sentence Structure,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F5,Verb Tense in Standard English,Verb Tense,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F6,Pronoun Usage in Standard English,Pronoun Usage,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F7,Commas in Standard English,Commas,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F8,Apostrophes in Standard English,Apostrophes,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.F9,Subject-Verb Agreement in Standard English,Subject-Verb Agreement,Writing/Conventions,3,0
database,PSSA,PA,ELA,7,CC.1.4.7.G,"Write arguments with claims, reasons, and counterclaims",Argument Counterclaim Response,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.S,Text-dependent analysis essay,TDA Writing,Writing/Conventions,6,0
database,PSSA,PA,ELA,7,CC.1.4.7.S,Use evidence and analysis in text-dependent writing,TDA Evidence and Explanation,Writing/Conventions,0,2
database,PSSA,PA,ELA,7,CC.1.4.7.V,Conduct short research and gather relevant information,Research Questions and Source Notes,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.1.8.E,Foundational Skills - advanced word analysis,Advanced Word Analysis,Foundational Skills,0,2
database,PSSA,PA,ELA,8,CC.1.1.8.E,Foundational Skills - connotation through word structure,Connotation Through Word Structure,Foundational Skills,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.A,Analyze central idea development and objective summary,Main Idea,Informational,4,2
database,PSSA,PA,ELA,8,CC.1.2.8.A,Analyze multiple central ideas and their development,Multiple Central Ideas,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.B,Draw inferences supported by strong textual evidence,Inference,Informational,7,2
database,PSSA,PA,ELA,8,CC.1.2.8.B,Cite the strongest textual evidence to support analysis,Text Evidence,Informational,0,2
generated,PSSA,PA,ELA,8,CC.1.2.8.C,Analyze text structure and author's craft,Text Structure,Informational,8,0
generated,PSSA,PA,ELA,8,CC.1.2.8.D,Determine word meaning and vocabulary,Vocabulary,Informational,8,0
database,PSSA,PA,ELA,8,CC.1.2.8.D,Analyze author's point of view and bias,Author Perspective and Bias,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.E,Analyze and compare text structures,Compare Text Structures,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.E,Analyze visual and quantitative information,Visual and Quantitative Evidence,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.G,"Evaluate reasoning, appeals, and fallacies",Logical Fallacies and Appeals,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.G,Trace and evaluate argument and evidence,Trace and Evaluate Arguments,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.2.8.I,Analyze conflicting information across texts,Conflicting Information Across Texts,Informational,0,2
database,PSSA,PA,ELA,8,CC.1.3.8.A,Analyze theme development and relationships,Theme,Literature,3,2
database,PSSA,PA,ELA,8,CC.1.3.8.A,Analyze multiple themes and their development,Multiple Themes in Literature,Literature,0,2
generated,PSSA,PA,ELA,8,CC.1.3.8.B,Analyze themes and implied meanings using multiple layers of evidence,Literary Inference,Literature,6,0
generated,PSSA,PA,ELA,8,CC.1.3.8.C,Analyze character development,Character,Literature,6,0
generated,PSSA,PA,ELA,8,CC.1.3.8.C,"Analyze how environment, events, or dialogue shape actions, outcomes, and meaning",Setting Analysis,Literature,9,0
generated,PSSA,PA,ELA,8,CC.1.3.8.C,"Analyze how dialogue or incidents propel action, reveal character, or provoke decisions",Plot Analysis,Literature,9,0
database,PSSA,PA,ELA,8,CC.1.3.8.C,Analyze literary elements and plot effects,Dramatic Irony and Suspense,Literature,0,2
database,PSSA,PA,ELA,8,CC.1.3.8.C,Analyze dialogue and incidents that reveal character,Dialogue and Characterization,Literature,0,2
generated,PSSA,PA,ELA,8,CC.1.3.8.D,Determine figurative and connotative meaning,Literary Vocabulary,Literature,2,0
database,PSSA,PA,ELA,8,CC.1.3.8.D,Analyze how point of view creates effects,Point of View,Literature,0,2
generated,PSSA,PA,ELA,8,CC.1.3.8.E,"Evaluate how differences in structure, including flashback, affect meaning",Flashback,Literature,2,0
database,PSSA,PA,ELA,8,CC.1.3.8.F,"Analyze figurative, connotative, and technical meanings",Connotation and Figurative Language,Literature,0,2
database,PSSA,PA,ELA,8,CC.1.3.8.F,Analyze the effect of figurative language,Figurative Language Effect,Literature,0,2
generated,PSSA,PA,ELA,8,CC.1.3.8.F / CC.1.2.8.F,"Evaluate tone, mood, symbolism, and author purpose created by figurative language",Figurative Language,Literature,6,0
generated,PSSA,PA,ELA,8,CC.1.3.8.G,"Evaluate bias, conflicting viewpoints, multiple perspectives, and reliability of narrator",Point of View,Literature,12,0
database,PSSA,PA,ELA,8,CC.1.3.8.H,Compare texts across genres on themes and patterns,Compare Genres on Similar Themes,Literature,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.A,Write informative texts that synthesize ideas,Informative Synthesis Writing,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.F,Use parallel structure for clarity and style,Parallel Structure,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.F,Apply punctuation for clarity and effect,"Ellipses, Dashes, and Punctuation Effects",Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.F,Maintain formal academic style and precise language,Formal Academic Style,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.F,Conventions of Standard English - Pronoun Agreement and Shifts,Pronoun Agreement and Shifts,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.F,Conventions of Standard English - Formal and Informal Style,Formal and Informal Style,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.F,Use verbs in active/passive voice and mood,Verb Moods and Voice,Writing/Conventions,0,2
generated,PSSA,PA,ELA,8,CC.1.4.8.F1,Grammar in Standard English,Grammar,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F10,Frequently Confused Words in Standard English,Frequently Confused Words,Conventions,0,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F2,Punctuation in Standard English,Punctuation,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F3,Capitalization in Standard English,Capitalization,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F4,Sentence Structure in Standard English,Sentence Structure,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F5,Verb Tense in Standard English,Verb Tense,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F6,Pronoun Usage in Standard English,Pronoun Usage,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F7,Commas in Standard English,Commas,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F8,Apostrophes in Standard English,Apostrophes,Conventions,2,0
generated,PSSA,PA,ELA,8,CC.1.4.8.F9,Subject-Verb Agreement in Standard English,Subject-Verb Agreement,Conventions,2,0
database,PSSA,PA,ELA,8,CC.1.4.8.G,"Write arguments with claims, counterclaims, and evidence",Argument with Counterclaims and Evidence,Writing/Conventions,0,2
generated,PSSA,PA,ELA,8,CC.1.4.8.S,Text-dependent analysis essay,TDA Writing,Writing,4,0
database,PSSA,PA,ELA,8,CC.1.4.8.S,Use strong evidence and analysis in text-dependent writing,TDA Evidence and Explanation,Writing/Conventions,0,2
database,PSSA,PA,ELA,8,CC.1.4.8.V,Assess source credibility and integrate research,Research Source Credibility,Writing/Conventions,0,2
